1,Bocas del Toro,1,
2,Changuinola,1,
3,Chiriquí Grande,1,
4,Aguadulce,2,
5,Antón,2,
6,La Pintada,2,
7,Natá,2,
8,Olá,2,
9,Penonomé,2,
10,Colón,3,
11,Chagres,3,
12,Donoso,3,
13,Portobelo,3,
14,Santa Isabel,3,
15,Alanje,4,
16,Barú,4,
17,Boquerón,4,
18,Boquete,4,
19,Bugaba,4,
20,David,4,
21,Dolega,4,
22,Gualaca,4,
23,Remedios ,4,
24,Renacimiento,4,
25,San Félix,4,
26,San Lorenzo,4,
27,Tolé,4,
28,Chepigana,5,
29,Pinogana,5,
30,Chitré,6,
31,Las Minas,6,
32,Los Pozos,6,
33,Ocú,6,
34,Parita,6,
35,Pesé,6,
36,Santa María,6,
37,Guararé,7,
38,Las Tablas,7,
39,Los Santos,7,
40,Macaracas,7,
41,Pedasí,7,
42,Pocrí,7,
43,Tonosí,7,
44,Arraiján,8,
45,Balboa,8,
46,Capira,8,
47,Chame,8,
48,Chepo,8,
49,Chimán,8,
50,La Chorrera,8,  
51,Panamá,8,
52,San Carlos,8,
53,San Miguelito,8,
54,Taboga,8,
55,Atalaya,9,
56,Calobre,9,
57,Cañazas,9,
58,La Mesa,9,
59,Las Palmas,9,
60,Montijo,9,
61,Río de Jesús,9,
62,San Francisco,9,
63,Santa Fé,9,
64,Santiago,9,
65,Soná,9,
66,Mariato,9,
67,(San Blas),10,
68,Comarca Kuna Yala,10,
69,Cémaco,11,
70,Sambú,11,
71,Besiko,12,
72,Mironó,12,
73,Müna,12,
74,Nole Duima,12,
75,Ñürüm,12,
76,Kankintú,12,
77,Kusapín,12,
